nama_provinsi,tahun,kemiskinan,pengeluaran,ipm,hls
ACEH,2010,19.95,7.93373,67.09,12.9
SUMATERA UTARA,2010,11.36,9.19567,67.09,11.82
SUMATERA BARAT,2010,9.44,9.339120000000001,67.25,12.22
RIAU,2010,10.01,9.85736,68.65,11.76
JAMBI,2010,8.4,8.47845,65.39,11.34
SUMATERA SELATAN,2010,14.8,8.536200000000001,64.44,11.03
BENGKULU,2010,16.37,8.45871,65.35,11.59
LAMPUNG,2010,17.76,7.963760000000001,63.71,10.88
KEPULAUAN BANGKA BELITUNG,2010,7.51,10.706790000000002,66.02,10.48
KEPULAUAN RIAU,2010,8.13,12.266620000000001,71.13,11.51
DKI JAKARTA,2010,4.04,15.11077,76.31,11.86
JAWA BARAT,2010,10.93,9.1738,66.15,10.69
JAWA TENGAH,2010,16.11,8.991959999999999,66.08,11.09
DI YOGYAKARTA,2010,15.63,12.08021,75.37,14.15
JAWA TIMUR,2010,14.87,9.00202,65.36,11.49
BANTEN,2010,7.02,10.77683,67.54,11.02
BALI,2010,5.67,12.07351,70.1,11.71
NUSA TENGGARA BARAT,2010,21.58,8.707040000000001,61.16,11.66
NUSA TENGGARA TIMUR,2010,21.76,6.615069999999999,59.21,10.85
KALIMANTAN BARAT,2010,9.1,7.6545,61.97,10.79
KALIMANTAN TENGAH,2010,7.52,9.257459999999998,65.96,11.09
KALIMANTAN SELATAN,2010,5.65,10.30414,65.2,10.86
KALIMANTAN TIMUR,2010,8.0,10.78984,71.31,11.87
KALIMANTAN UTARA,2010,8.0,0.0,0.0,0.0
SULAWESI UTARA,2010,9.59,8.93498,67.83,11.34
SULAWESI TENGAH,2010,17.24,7.98773,63.29,11.17
SULAWESI SELATAN,2010,11.4,9.330620000000001,66.0,11.47
SULAWESI TENGGARA,2010,15.69,8.12589,65.99,12.15
GORONTALO,2010,16.55,8.20669,62.65,11.12
SULAWESI BARAT,2010,14.71,8.00309,59.74,10.58
MALUKU,2010,25.32,7.36181,64.27,12.62
MALUKU UTARA,2010,9.79,6.81283,62.79,11.74
PAPUA BARAT,2010,28.59,6.67679,59.6,11.1
PAPUA,2010,34.1,6.250520000000001,54.45,8.57
ACEH,2011,19.48,8.04367,67.45,13.03
SUMATERA UTARA,2011,10.83,9.23075,67.34,11.83
SUMATERA BARAT,2011,8.99,9.40874,67.81,12.52
RIAU,2011,8.17,9.95709,68.9,11.78
JAMBI,2011,7.9,8.66405,66.14,11.6
SUMATERA SELATAN,2011,13.95,8.80325,65.12,11.21
BENGKULU,2011,17.36,8.571969999999999,65.96,11.88
LAMPUNG,2011,16.58,8.11829,64.2,11.04
KEPULAUAN BANGKA BELITUNG,2011,5.16,10.80799,66.59,10.7
KEPULAUAN RIAU,2011,6.79,12.51297,71.61,11.61
DKI JAKARTA,2011,3.64,15.943430000000001,76.98,11.91
JAWA BARAT,2011,10.57,9.24902,66.67,10.91
JAWA TENGAH,2011,16.21,9.296370000000001,66.64,11.18
DI YOGYAKARTA,2011,16.14,12.11452,75.93,14.61
JAWA TIMUR,2011,13.85,9.3962,66.06,11.62
BANTEN,2011,6.26,10.93284,68.22,11.41
BALI,2011,4.59,12.30677,70.87,12.12
NUSA TENGGARA BARAT,2011,19.67,8.75876,62.14,11.97
NUSA TENGGARA TIMUR,2011,20.48,6.67762,60.24,11.55
KALIMANTAN BARAT,2011,8.48,7.82522,62.35,10.8
KALIMANTAN TENGAH,2011,6.64,9.47194,66.38,11.15
KALIMANTAN SELATAN,2011,5.35,10.4368,65.89,11.14
KALIMANTAN TIMUR,2011,6.63,10.9268,72.02,12.06
KALIMANTAN UTARA,2011,6.63,0.0,0.0,0.0
SULAWESI UTARA,2011,8.46,9.113,68.31,11.5
SULAWESI TENGAH,2011,16.04,8.07737,64.27,11.82
SULAWESI SELATAN,2011,10.27,9.45945,66.65,11.82
SULAWESI TENGGARA,2011,14.61,8.24876,66.52,12.3
GORONTALO,2011,18.02,8.29317,63.48,11.68
SULAWESI BARAT,2011,13.64,8.04859,60.63,11.21
MALUKU,2011,22.45,7.43741,64.75,12.85
MALUKU UTARA,2011,10.0,6.93534,63.19,11.79
PAPUA BARAT,2011,28.53,6.7089300000000005,59.9,11.21
PAPUA,2011,31.25,6.3034,55.01,8.92
ACEH,2012,18.58,8.13401,67.81,13.19
SUMATERA UTARA,2012,10.41,9.26583,67.74,11.97
SUMATERA BARAT,2012,8.0,9.478879999999998,68.36,12.81
RIAU,2012,8.05,10.05784,69.15,11.79
JAMBI,2012,8.28,8.94355,66.94,11.73
SUMATERA SELATAN,2012,13.48,9.04035,65.79,11.42
BENGKULU,2012,17.51,8.68182,66.61,12.2
LAMPUNG,2012,15.65,8.27312,64.87,11.37
KEPULAUAN BANGKA BELITUNG,2012,5.37,11.21808,67.21,10.79
KEPULAUAN RIAU,2012,6.83,12.73991,72.36,11.9
DKI JAKARTA,2012,3.7,16.61286,77.53,11.96
JAWA BARAT,2012,9.88,9.32485,67.32,11.24
JAWA TENGAH,2012,14.98,9.49715,67.21,11.39
DI YOGYAKARTA,2012,15.88,12.13669,76.15,14.64
JAWA TIMUR,2012,13.08,9.797469999999999,66.74,11.74
BANTEN,2012,5.71,11.008329999999999,68.92,11.79
BALI,2012,3.95,12.52978,71.62,12.26
NUSA TENGGARA BARAT,2012,18.02,8.85259,62.98,12.21
NUSA TENGGARA TIMUR,2012,20.41,6.78475,60.81,11.73
KALIMANTAN BARAT,2012,7.96,8.001859999999999,63.41,11.11
KALIMANTAN TENGAH,2012,6.19,9.5566,66.66,11.22
KALIMANTAN SELATAN,2012,5.01,10.55289,66.68,11.54
KALIMANTAN TIMUR,2012,6.38,10.943959999999999,72.62,12.46
KALIMANTAN UTARA,2012,6.38,0.0,0.0,0.0
SULAWESI UTARA,2012,7.63,9.430040000000002,69.04,11.77
SULAWESI TENGAH,2012,14.94,8.28607,65.0,12.09
SULAWESI SELATAN,2012,9.82,9.559610000000001,67.26,12.16
SULAWESI TENGGARA,2012,13.05,8.39591,67.07,12.45
GORONTALO,2012,17.22,8.67277,64.16,11.78
SULAWESI BARAT,2012,13.01,8.091239999999999,61.01,11.28
MALUKU,2012,20.76,7.72667,65.43,12.96
MALUKU UTARA,2012,8.05,7.059399999999999,63.93,12.19
PAPUA BARAT,2012,27.04,6.73203,60.3,11.45
PAPUA,2012,30.66,6.34887,55.55,9.11
ACEH,2013,17.72,8.28879,68.3,13.36
SUMATERA UTARA,2013,10.39,9.30876,68.36,12.41
SUMATERA BARAT,2013,7.56,9.569540000000002,68.91,13.16
RIAU,2013,8.42,10.1796,69.91,12.27
JAMBI,2013,8.41,9.066270000000001,67.76,12.17
SUMATERA SELATAN,2013,14.06,9.23082,66.16,11.46
BENGKULU,2013,17.75,8.80321,67.5,12.78
LAMPUNG,2013,14.39,8.41511,65.73,11.9
KEPULAUAN BANGKA BELITUNG,2013,5.25,11.656540000000001,67.92,10.96
KEPULAUAN RIAU,2013,6.35,12.94228,73.02,12.26
DKI JAKARTA,2013,3.72,16.82758,78.08,12.24
JAWA BARAT,2013,9.61,9.421299999999999,68.25,11.81
JAWA TENGAH,2013,14.44,9.61792,68.02,11.89
DI YOGYAKARTA,2013,15.03,12.26052,76.44,14.67
JAWA TIMUR,2013,12.73,9.978,67.55,12.17
BANTEN,2013,5.89,11.06134,69.47,12.05
BALI,2013,4.49,12.73809,72.09,12.4
NUSA TENGGARA BARAT,2013,17.25,8.95027,63.76,12.46
NUSA TENGGARA TIMUR,2013,20.24,6.89941,61.68,12.27
KALIMANTAN BARAT,2013,8.74,8.12701,64.3,11.6
KALIMANTAN TENGAH,2013,6.23,9.64141,67.41,11.71
KALIMANTAN SELATAN,2013,4.76,10.654959999999999,67.17,11.67
KALIMANTAN TIMUR,2013,6.38,10.981129999999999,73.21,12.85
KALIMANTAN UTARA,2013,6.38,8.228549999999998,67.99,12.3
SULAWESI UTARA,2013,8.5,9.58267,69.49,11.88
SULAWESI TENGAH,2013,14.32,8.50057,65.79,12.36
SULAWESI SELATAN,2013,10.32,9.63241,67.92,12.52
SULAWESI TENGGARA,2013,13.73,8.53728,67.55,12.45
GORONTALO,2013,18.0,8.71872,64.7,12.13
SULAWESI BARAT,2013,12.23,8.14785,61.53,11.46
MALUKU,2013,19.27,7.87245,66.09,13.35
MALUKU UTARA,2013,7.64,7.1998,64.78,12.48
PAPUA BARAT,2013,27.14,6.89619,60.91,11.67
PAPUA,2013,31.52,6.3943,56.25,9.58
ACEH,2014,16.98,8.29748,68.81,13.53
SUMATERA UTARA,2014,9.85,9.391,68.87,12.61
SUMATERA BARAT,2014,6.89,9.62073,69.36,13.48
RIAU,2014,7.99,10.2624,70.33,12.45
JAMBI,2014,8.39,9.14115,68.24,12.38
SUMATERA SELATAN,2014,13.62,9.30202,66.75,11.75
BENGKULU,2014,17.09,8.864120000000002,68.06,13.01
LAMPUNG,2014,14.21,8.47624,66.42,12.24
KEPULAUAN BANGKA BELITUNG,2014,4.97,11.69057,68.27,11.18
KEPULAUAN RIAU,2014,6.4,13.01853,73.4,12.51
DKI JAKARTA,2014,4.09,16.897509999999997,78.39,12.38
JAWA BARAT,2014,9.18,9.44716,68.8,12.08
JAWA TENGAH,2014,13.58,9.63974,68.78,12.17
DI YOGYAKARTA,2014,14.55,12.29443,76.81,14.85
JAWA TIMUR,2014,12.28,10.01216,68.14,12.45
BANTEN,2014,5.51,11.15,69.89,12.31
BALI,2014,4.76,12.83051,72.48,12.64
NUSA TENGGARA BARAT,2014,17.05,8.98696,64.31,12.73
NUSA TENGGARA TIMUR,2014,19.6,6.93354,62.26,12.65
KALIMANTAN BARAT,2014,8.07,8.17498,64.89,11.89
KALIMANTAN TENGAH,2014,6.07,9.68187,67.77,11.93
KALIMANTAN SELATAN,2014,4.81,10.74757,67.63,11.96
KALIMANTAN TIMUR,2014,6.31,11.01883,73.82,13.17
KALIMANTAN UTARA,2014,6.31,8.288860000000001,68.64,12.52
SULAWESI UTARA,2014,8.26,9.62782,69.96,12.16
SULAWESI TENGAH,2014,13.61,8.60152,66.43,12.71
SULAWESI SELATAN,2014,9.54,9.722700000000001,68.49,12.9
SULAWESI TENGGARA,2014,12.77,8.555129999999998,68.07,12.78
GORONTALO,2014,17.41,8.76226,65.17,12.49
SULAWESI BARAT,2014,12.05,8.16987,62.24,11.78
MALUKU,2014,18.44,7.92516,66.74,13.53
MALUKU UTARA,2014,7.41,7.23382,65.18,12.72
PAPUA BARAT,2014,26.26,6.94398,61.28,11.87
PAPUA,2014,27.8,6.4161,56.75,9.94
ACEH,2015,17.08,8.53305,69.45,13.73
SUMATERA UTARA,2015,10.53,9.56319,69.51,12.82
SUMATERA BARAT,2015,7.31,9.80374,69.98,13.6
RIAU,2015,8.42,10.36439,70.84,12.74
JAMBI,2015,8.86,9.44618,68.89,12.57
SUMATERA SELATAN,2015,14.25,9.47421,67.46,12.02
BENGKULU,2015,17.88,9.122879999999999,68.59,13.18
LAMPUNG,2015,14.35,8.72932,66.95,12.25
KEPULAUAN BANGKA BELITUNG,2015,5.4,11.78086,69.05,11.6
KEPULAUAN RIAU,2015,6.24,13.17679,73.75,12.6
DKI JAKARTA,2015,3.93,17.07543,78.99,12.59
JAWA BARAT,2015,9.53,9.777610000000001,69.5,12.15
JAWA TENGAH,2015,13.58,9.929709999999998,69.49,12.38
DI YOGYAKARTA,2015,14.91,12.684239999999999,77.59,15.03
JAWA TIMUR,2015,12.34,10.383370000000001,68.95,12.66
BANTEN,2015,5.9,11.261479999999999,70.27,12.35
BALI,2015,4.74,13.07834,73.27,12.97
NUSA TENGGARA BARAT,2015,17.1,9.24131,65.19,13.04
NUSA TENGGARA TIMUR,2015,22.61,7.00335,62.67,12.84
KALIMANTAN BARAT,2015,8.03,8.27934,65.59,12.25
KALIMANTAN TENGAH,2015,5.94,9.80946,68.53,12.22
KALIMANTAN SELATAN,2015,4.99,10.89097,68.38,12.21
KALIMANTAN TIMUR,2015,6.23,11.22881,74.17,13.18
KALIMANTAN UTARA,2015,6.24,8.353969999999999,68.76,12.54
SULAWESI UTARA,2015,8.65,9.72911,70.39,12.43
SULAWESI TENGAH,2015,14.66,8.76773,66.76,12.72
SULAWESI SELATAN,2015,9.39,9.991719999999999,69.15,12.99
SULAWESI TENGGARA,2015,12.9,8.6974,68.75,13.07
GORONTALO,2015,18.32,9.035120000000001,65.86,12.7
SULAWESI BARAT,2015,12.4,8.259979999999999,62.96,12.22
MALUKU,2015,19.51,8.0256,67.05,13.56
MALUKU UTARA,2015,6.84,7.4233,65.91,13.1
PAPUA BARAT,2015,25.82,7.06388,61.73,12.06
PAPUA,2015,28.17,6.4685500000000005,57.25,9.95
ACEH,2016,16.73,8.768,70.0,13.89
SUMATERA UTARA,2016,10.35,9.744,70.0,13.0
SUMATERA BARAT,2016,7.09,10.126,70.73,13.79
RIAU,2016,7.98,10.465,71.2,12.86
JAMBI,2016,8.41,9.795,69.62,12.72
SUMATERA SELATAN,2016,13.54,9.935,68.24,12.23
BENGKULU,2016,17.32,9.492,69.33,13.38
LAMPUNG,2016,14.29,9.156,67.65,12.35
KEPULAUAN BANGKA BELITUNG,2016,5.22,11.96,69.55,11.71
KEPULAUAN RIAU,2016,5.98,13.359,73.99,12.66
DKI JAKARTA,2016,3.75,17.468,79.6,12.73
JAWA BARAT,2016,8.95,10.035,70.05,12.3
JAWA TENGAH,2016,13.27,10.153,69.98,12.45
DI YOGYAKARTA,2016,13.34,13.229,78.38,15.23
JAWA TIMUR,2016,12.05,10.715,69.74,12.98
BANTEN,2016,5.42,11.469,70.96,12.7
BALI,2016,4.25,13.279,73.65,13.04
NUSA TENGGARA BARAT,2016,16.48,9.575,65.81,13.16
NUSA TENGGARA TIMUR,2016,22.19,7.122,63.13,12.97
KALIMANTAN BARAT,2016,7.87,8.348,65.88,12.37
KALIMANTAN TENGAH,2016,5.66,10.155,69.13,12.33
KALIMANTAN SELATAN,2016,4.85,11.307,69.05,12.29
KALIMANTAN TIMUR,2016,6.11,11.355,74.59,13.35
